Date: 2023-10-29 16:55:21s, Time_Cost: 100s, Epoch: [88/100],Val_PSNR: 61.10, Val_SSIM: 1.0000
Date: 2023-10-29 16:57:02s, Time_Cost: 100s, Epoch: [89/100],Val_PSNR: 61.44, Val_SSIM: 1.0000
Date: 2023-10-29 16:58:42s, Time_Cost: 100s, Epoch: [90/100],Val_PSNR: 61.93, Val_SSIM: 1.0000
Date: 2023-10-29 17:00:22s, Time_Cost: 100s, Epoch: [91/100],Val_PSNR: 62.93, Val_SSIM: 1.0000
Date: 2023-10-29 17:02:02s, Time_Cost: 100s, Epoch: [92/100],Val_PSNR: 63.80, Val_SSIM: 1.0000
Date: 2023-10-29 17:03:43s, Time_Cost: 100s, Epoch: [93/100],Val_PSNR: 65.20, Val_SSIM: 1.0000
Date: 2023-10-29 17:05:23s, Time_Cost: 100s, Epoch: [94/100],Val_PSNR: 65.80, Val_SSIM: 1.0000
Date: 2023-10-29 17:07:03s, Time_Cost: 100s, Epoch: [95/100],Val_PSNR: 67.01, Val_SSIM: 1.0000
Date: 2023-10-29 17:08:43s, Time_Cost: 100s, Epoch: [96/100],Val_PSNR: 67.98, Val_SSIM: 1.0000
Date: 2023-10-29 17:10:23s, Time_Cost: 100s, Epoch: [97/100],Val_PSNR: 69.75, Val_SSIM: 1.0000
Date: 2023-10-29 17:12:03s, Time_Cost: 100s, Epoch: [98/100],Val_PSNR: 71.33, Val_SSIM: 1.0000
Date: 2023-10-29 17:13:44s, Time_Cost: 100s, Epoch: [99/100],Val_PSNR: 72.76, Val_SSIM: 1.0000
Date: 2023-10-29 17:15:24s, Time_Cost: 100s, Epoch: [100/100],Val_PSNR: 72.88, Val_SSIM: 1.0000
Date: 2023-10-29 17:25:01s, Time_Cost: 105s, Epoch: [1/100],Val_PSNR: 29.42, Val_SSIM: 0.9373
Date: 2023-10-29 17:26:40s, Time_Cost: 99s, Epoch: [2/100],Val_PSNR: 35.94, Val_SSIM: 0.9884
Date: 2023-10-29 17:28:19s, Time_Cost: 99s, Epoch: [3/100],Val_PSNR: 37.89, Val_SSIM: 0.9926
Date: 2023-10-29 17:29:58s, Time_Cost: 99s, Epoch: [4/100],Val_PSNR: 39.20, Val_SSIM: 0.9943
Date: 2023-10-29 17:31:37s, Time_Cost: 99s, Epoch: [5/100],Val_PSNR: 40.02, Val_SSIM: 0.9952
Date: 2023-10-29 17:33:16s, Time_Cost: 99s, Epoch: [6/100],Val_PSNR: 40.89, Val_SSIM: 0.9960
Date: 2023-10-29 17:34:56s, Time_Cost: 99s, Epoch: [7/100],Val_PSNR: 41.46, Val_SSIM: 0.9964
Date: 2023-10-29 17:36:34s, Time_Cost: 99s, Epoch: [8/100],Val_PSNR: 41.96, Val_SSIM: 0.9968
Date: 2023-10-29 17:38:13s, Time_Cost: 99s, Epoch: [9/100],Val_PSNR: 42.24, Val_SSIM: 0.9970
Date: 2023-10-29 17:39:52s, Time_Cost: 99s, Epoch: [10/100],Val_PSNR: 43.24, Val_SSIM: 0.9976
Date: 2023-10-29 17:41:31s, Time_Cost: 99s, Epoch: [11/100],Val_PSNR: 43.54, Val_SSIM: 0.9975
Date: 2023-10-29 17:43:10s, Time_Cost: 99s, Epoch: [12/100],Val_PSNR: 43.64, Val_SSIM: 0.9979
